sym,date,whale_time,hour,bar_k,entry,whale_low,whale_high,spike,pace,clv,rng_x,new_high,above_vwap,lifting,confirmed,rsi,pattern,score,room_pct,breakout,trend,near_low,atr5_pct,atr5_abs,atr_d_pct,v3,first_of_day,fill,slip_pct,mfe_d0,mae_d0,close_d0,mfe_d1,close_d1,stoppct_whale,o_d0_t0.5_whale,p_d0_t0.5_whale,o_d1_t0.5_whale,p_d1_t0.5_whale,o_d0_t1.0_whale,p_d0_t1.0_whale,o_d1_t1.0_whale,p_d1_t1.0_whale,o_d0_t1.5_whale,p_d0_t1.5_whale,o_d1_t1.5_whale,p_d1_t1.5_whale,o_d0_t2.0_whale,p_d0_t2.0_whale,o_d1_t2.0_whale,p_d1_t2.0_whale,stoppct_p05,o_d0_t0.5_p05,p_d0_t0.5_p05,o_d1_t0.5_p05,p_d1_t0.5_p05,o_d0_t1.0_p05,p_d0_t1.0_p05,o_d1_t1.0_p05,p_d1_t1.0_p05,o_d0_t1.5_p05,p_d0_t1.5_p05,o_d1_t1.5_p05,p_d1_t1.5_p05,o_d0_t2.0_p05,p_d0_t2.0_p05,o_d1_t2.0_p05,p_d1_t2.0_p05,stoppct_p10,o_d0_t0.5_p10,p_d0_t0.5_p10,o_d1_t0.5_p10,p_d1_t0.5_p10,o_d0_t1.0_p10,p_d0_t1.0_p10,o_d1_t1.0_p10,p_d1_t1.0_p10,o_d0_t1.5_p10,p_d0_t1.5_p10,o_d1_t1.5_p10,p_d1_t1.5_p10,o_d0_t2.0_p10,p_d0_t2.0_p10,o_d1_t2.0_p10,p_d1_t2.0_p10,stoppct_p20,o_d0_t0.5_p20,p_d0_t0.5_p20,o_d1_t0.5_p20,p_d1_t0.5_p20,o_d0_t1.0_p20,p_d0_t1.0_p20,o_d1_t1.0_p20,p_d1_t1.0_p20,o_d0_t1.5_p20,p_d0_t1.5_p20,o_d1_t1.5_p20,p_d1_t1.5_p20,o_d0_t2.0_p20,p_d0_t2.0_p20,o_d1_t2.0_p20,p_d1_t2.0_p20,stoppct_atr1,o_d0_t0.5_atr1,p_d0_t0.5_atr1,o_d1_t0.5_atr1,p_d1_t0.5_atr1,o_d0_t1.0_atr1,p_d0_t1.0_atr1,o_d1_t1.0_atr1,p_d1_t1.0_atr1,o_d0_t1.5_atr1,p_d0_t1.5_atr1,o_d1_t1.5_atr1,p_d1_t1.5_atr1,o_d0_t2.0_atr1,p_d0_t2.0_atr1,o_d1_t2.0_atr1,p_d1_t2.0_atr1
XOM,2026-09-04,14:05,14,55,160.05,159.82,160.05,3.24,1.0,0.7,1.2,False,False,False,False,35.5,بدون,59,1.96,False,True,False,0.117,0.18752179827008927,2.07,False,True,160.05,0.0,0.13,-0.52,-0.39,1.91,0.4,0.34,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.39,target,0.5,none,-0.39,target,1.0,none,-0.39,target,1.5,none,-0.39,none,0.4,2.0,none,-0.39,target,0.5,none,-0.39,target,1.0,none,-0.39,target,1.5,none,-0.39,none,0.4,0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12
TSLA,2026-09-04,14:10,14,56,353.86,352.96,354.1,2.59,1.42,0.67,1.88,True,False,False,False,52.7,قاعدة,65,8.2,False,True,False,0.175,0.6162283761160714,3.75,False,False,353.88,0.0,0.47,-0.27,0.02,4.56,4.0,0.45,none,0.02,target,0.96,none,0.02,target,1.0,none,0.02,target,1.5,none,0.02,target,1.99,0.5,none,0.02,target,0.96,none,0.02,target,1.0,none,0.02,target,1.5,none,0.02,target,1.99,1.0,none,0.02,target,0.96,none,0.02,target,1.0,none,0.02,target,1.5,none,0.02,target,1.99,2.0,none,0.02,target,0.96,none,0.02,target,1.0,none,0.02,target,1.5,none,0.02,target,1.99,0.17,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18,stop,-0.18
AVGO,2026-09-04,14:25,14,59,356.33,355.51,355.99,6.85,1.07,0.88,0.67,False,False,False,False,55.3,بدون,79,1.04,False,False,False,0.209,0.7427956717354911,3.26,False,True,356.35,0.0,0.59,-0.21,0.43,4.59,3.39,0.43,target,0.5,target,0.5,none,0.43,target,2.07,none,0.43,target,2.07,none,0.43,target,2.07,0.5,target,0.5,target,0.5,none,0.43,target,2.07,none,0.43,target,2.07,none,0.43,target,2.07,1.0,target,0.5,target,0.5,none,0.43,target,2.07,none,0.43,target,2.07,none,0.43,target,2.07,2.0,target,0.5,target,0.5,none,0.43,target,2.07,none,0.43,target,2.07,none,0.43,target,2.07,0.21,target,0.5,target,0.5,none,0.43,target,2.07,none,0.43,target,2.07,none,0.43,target,2.07
BSX,2026-09-04,14:40,14,62,47.79,47.64,47.81,2.38,1.08,0.94,1.86,False,True,False,True,49.3,بدون,67,0.14,False,False,False,0.187,0.08920724051339286,4.08,False,True,47.79,0.0,0.56,-0.09,0.04,0.56,-5.87,0.51,target,0.5,target,0.5,none,0.04,stop,-0.75,none,0.04,stop,-0.75,none,0.04,stop,-0.75,0.5,target,0.5,target,0.5,none,0.04,stop,-0.75,none,0.04,stop,-0.75,none,0.04,stop,-0.75,1.0,target,0.5,target,0.5,none,0.04,stop,-1.0,none,0.04,stop,-1.0,none,0.04,stop,-1.0,2.0,target,0.5,target,0.5,none,0.04,stop,-2.0,none,0.04,stop,-2.0,none,0.04,stop,-2.0,0.19,target,0.5,target,0.5,none,0.04,stop,-0.75,none,0.04,stop,-0.75,none,0.04,stop,-0.75
COST,2026-09-04,14:40,14,62,917.09,915.73,916.63,4.28,1.24,0.93,1.43,False,False,False,False,42.4,بدون,77,1.26,False,False,True,0.068,0.6181553431919643,1.93,False,False,916.99,-0.01,0.12,-0.25,-0.16,0.12,-0.75,0.35,none,-0.16,stop,-0.38,none,-0.16,stop,-0.38,none,-0.16,stop,-0.38,none,-0.16,stop,-0.38,0.5,none,-0.16,stop,-0.49,none,-0.16,stop,-0.49,none,-0.16,stop,-0.49,none,-0.16,stop,-0.49,1.0,none,-0.16,stop,-0.99,none,-0.16,stop,-0.99,none,-0.16,stop,-0.99,none,-0.16,stop,-0.99,2.0,none,-0.16,none,-0.75,none,-0.16,none,-0.75,none,-0.16,none,-0.75,none,-0.16,none,-0.75,0.07,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06
TSM,2026-09-04,14:50,14,64,428.83,428.48,429.06,2.39,1.71,0.87,1.21,True,True,False,True,67.0,قاعدة,89,990.0,True,False,False,0.095,0.4078434535435268,2.49,False,False,428.77,-0.01,0.24,-0.47,-0.04,3.62,2.39,0.28,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,0.5,none,-0.04,target,2.16,none,-0.04,target,2.16,none,-0.04,target,2.16,none,-0.04,target,2.16,1.0,none,-0.04,target,2.16,none,-0.04,target,2.16,none,-0.04,target,2.16,none,-0.04,target,2.16,2.0,none,-0.04,target,2.16,none,-0.04,target,2.16,none,-0.04,target,2.16,none,-0.04,target,2.16,0.1,stop,-0.08,stop,-0.08,stop,-0.08,stop,-0.08,stop,-0.08,stop,-0.08,stop,-0.08,stop,-0.08
ARM,2026-09-04,14:55,15,65,251.18,250.39,252.29,6.48,1.62,0.84,4.06,False,False,False,False,47.6,بدون,82,1.79,False,False,False,0.197,0.49504307338169645,5.92,False,False,251.07,-0.04,0.43,-0.76,0.41,6.73,4.09,0.51,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,0.5,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,1.0,none,0.41,target,4.12,none,0.41,target,4.12,none,0.41,target,4.12,none,0.41,target,4.12,2.0,none,0.41,target,4.12,none,0.41,target,4.12,none,0.41,target,4.12,none,0.41,target,4.12,0.2,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15
CDNS,2026-09-04,14:55,15,65,293.53,293.55,294.23,2.69,2.96,0.8,1.08,True,False,False,False,52.6,مثلث,91,4.99,False,False,True,0.215,0.6296670096261161,3.63,False,True,293.6,0.02,0.2,-0.64,-0.29,0.76,-3.18,0.19,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,0.5,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,1.0,none,-0.29,stop,-1.02,none,-0.29,stop,-1.02,none,-0.29,stop,-1.02,none,-0.29,stop,-1.02,2.0,none,-0.29,target,0.48,none,-0.29,stop,-2.02,none,-0.29,stop,-2.02,none,-0.29,stop,-2.02,0.21,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24
PH,2026-09-04,14:55,15,65,962.11,962.51,963.19,2.68,1.43,1.0,0.81,False,False,False,False,40.4,بدون,65,1.69,False,False,False,0.087,0.8391462053571429,2.5,False,False,962.14,0.0,0.13,-0.18,0.07,0.97,-0.7,0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,0.5,none,0.07,target,0.5,none,0.07,stop,-0.5,none,0.07,stop,-0.5,none,0.07,stop,-0.5,1.0,none,0.07,target,0.5,none,0.07,none,-0.7,none,0.07,none,-0.7,none,0.07,none,-0.7,2.0,none,0.07,target,0.5,none,0.07,none,-0.7,none,0.07,none,-0.7,none,0.07,none,-0.7,0.09,stop,-0.09,stop,-0.09,stop,-0.09,stop,-0.09,stop,-0.09,stop,-0.09,stop,-0.09,stop,-0.09
ETN,2026-09-04,15:15,15,69,408.4,407.86,408.25,2.08,1.01,1.0,0.92,False,True,False,True,51.7,بدون,63,0.32,False,False,False,0.098,0.39893886021205355,3.32,False,False,408.49,0.02,0.67,0.0,0.58,5.33,3.34,0.33,target,0.48,target,0.48,none,0.58,target,3.72,none,0.58,target,3.72,none,0.58,target,3.72,0.5,target,0.48,target,0.48,none,0.58,target,3.72,none,0.58,target,3.72,none,0.58,target,3.72,1.0,target,0.48,target,0.48,none,0.58,target,3.72,none,0.58,target,3.72,none,0.58,target,3.72,2.0,target,0.48,target,0.48,none,0.58,target,3.72,none,0.58,target,3.72,none,0.58,target,3.72,0.1,target,0.48,target,0.48,none,0.58,target,3.72,none,0.58,target,3.72,none,0.58,target,3.72
INTC,2026-09-04,15:15,15,69,94.93,94.48,94.74,2.24,1.44,0.98,1.22,False,True,False,True,43.8,بدون,70,0.96,False,False,False,0.214,0.20190157209123885,4.63,False,False,94.93,0.01,1.06,-0.45,0.92,11.75,10.01,0.67,target,0.49,target,0.49,target,0.99,target,0.99,none,0.92,target,6.21,none,0.92,target,6.21,0.5,target,0.49,target,0.49,target,0.99,target,0.99,none,0.92,target,6.21,none,0.92,target,6.21,1.0,target,0.49,target,0.49,target,0.99,target,0.99,none,0.92,target,6.21,none,0.92,target,6.21,2.0,target,0.49,target,0.49,target,0.99,target,0.99,none,0.92,target,6.21,none,0.92,target,6.21,0.21,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22
HAL,2026-09-04,15:25,15,71,36.97,36.9,36.96,2.12,1.03,0.92,1.29,False,False,False,False,38.8,بدون,54,1.42,False,True,False,0.142,0.05242810930524554,2.85,False,True,36.97,0.0,0.37,-0.19,0.28,2.06,-0.46,0.39,none,0.28,target,1.27,none,0.28,target,1.27,none,0.28,target,1.5,none,0.28,target,2.0,0.5,none,0.28,target,1.27,none,0.28,target,1.27,none,0.28,target,1.5,none,0.28,target,2.0,1.0,none,0.28,target,1.27,none,0.28,target,1.27,none,0.28,target,1.5,none,0.28,target,2.0,2.0,none,0.28,target,1.27,none,0.28,target,1.27,none,0.28,target,1.5,none,0.28,target,2.0,0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14
KLAC,2026-09-04,15:30,15,72,185.51,184.43,185.24,2.06,1.97,0.9,1.9,False,True,False,True,40.8,بدون,75,0.99,False,False,False,0.215,0.3962925502232143,4.11,False,False,185.52,0.01,0.48,-0.12,0.01,2.88,1.9,0.78,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,0.5,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,1.0,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,2.0,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,0.21,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1,none,0.01,target,2.1
MRVL,2026-09-04,15:30,15,72,222.63,221.75,222.38,2.45,1.09,0.9,1.2,True,True,False,True,56.0,مثلث,88,990.0,True,False,False,0.203,0.45068795340401785,7.8,False,False,222.6,-0.01,0.48,-0.29,0.4,4.17,1.28,0.59,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,2.01,0.5,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,2.01,1.0,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,2.01,2.0,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,1.97,none,0.4,target,2.01,0.2,stop,-0.19,stop,-0.19,stop,-0.19,stop,-0.19,stop,-0.19,stop,-0.19,stop,-0.19,stop,-0.19
MU,2026-09-04,15:30,15,72,1008.17,1002.41,1006.66,2.32,1.49,0.98,2.16,True,True,True,True,52.5,قاعدة,80,-0.08,False,True,False,0.202,2.022548130580357,4.91,False,False,1008.13,-0.0,0.96,-0.07,0.68,3.27,-0.81,0.77,target,0.5,target,0.5,none,0.68,target,2.85,none,0.68,target,2.85,none,0.68,target,2.85,0.5,target,0.5,target,0.5,none,0.68,target,2.85,none,0.68,target,2.85,none,0.68,target,2.85,1.0,target,0.5,target,0.5,none,0.68,target,2.85,none,0.68,target,2.85,none,0.68,target,2.85,2.0,target,0.5,target,0.5,none,0.68,target,2.85,none,0.68,target,2.85,none,0.68,target,2.85,0.2,target,0.5,target,0.5,none,0.68,target,2.85,none,0.68,target,2.85,none,0.68,target,2.85
NXPI,2026-09-04,15:30,15,72,227.3,226.38,227.0,2.53,1.02,0.71,1.83,False,False,False,False,37.7,بدون,51,0.58,False,False,False,0.165,0.3732114519391741,2.57,False,True,227.24,-0.03,0.4,-0.04,0.27,1.71,-1.46,0.6,none,0.27,target,1.31,none,0.27,target,1.31,none,0.27,target,1.53,none,0.27,stop,-0.58,0.5,none,0.27,target,1.31,none,0.27,target,1.31,none,0.27,target,1.53,none,0.27,stop,-0.47,1.0,none,0.27,target,1.31,none,0.27,target,1.31,none,0.27,target,1.53,none,0.27,stop,-0.97,2.0,none,0.27,target,1.31,none,0.27,target,1.31,none,0.27,target,1.53,none,0.27,stop,-1.97,0.16,none,0.27,target,1.31,none,0.27,target,1.31,none,0.27,target,1.53,none,0.27,stop,-0.14
ON,2026-09-04,15:30,15,72,74.28,73.57,73.99,3.24,1.52,0.93,2.09,False,False,False,False,28.8,بدون,73,1.39,False,False,False,0.284,0.20928573608398438,3.85,False,False,74.28,-0.01,0.32,-0.29,0.19,0.77,-4.27,1.15,none,0.19,target,0.72,none,0.19,stop,-1.15,none,0.19,stop,-1.15,none,0.19,stop,-1.15,0.5,none,0.19,target,0.72,none,0.19,stop,-0.49,none,0.19,stop,-0.49,none,0.19,stop,-0.49,1.0,none,0.19,target,0.72,none,0.19,stop,-0.99,none,0.19,stop,-0.99,none,0.19,stop,-0.99,2.0,none,0.19,target,0.72,none,0.19,stop,-1.99,none,0.19,stop,-1.99,none,0.19,stop,-1.99,0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28
SNPS,2026-09-04,15:30,15,72,394.42,392.74,393.95,2.87,2.56,0.88,1.36,False,True,False,True,53.3,بدون,88,6.01,False,True,False,0.203,0.7967899867466518,3.77,False,False,394.24,-0.05,0.08,-0.28,-0.12,2.93,-0.56,0.63,none,-0.12,target,0.64,none,-0.12,target,1.05,none,-0.12,target,1.55,none,-0.12,target,2.05,0.5,none,-0.12,target,0.64,none,-0.12,target,1.05,none,-0.12,target,1.55,none,-0.12,target,2.05,1.0,none,-0.12,target,0.64,none,-0.12,target,1.05,none,-0.12,target,1.55,none,-0.12,target,2.05,2.0,none,-0.12,target,0.64,none,-0.12,target,1.05,none,-0.12,target,1.55,none,-0.12,target,2.05,0.2,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16
TSM,2026-09-04,15:30,15,72,429.06,427.45,428.85,2.49,1.74,0.83,2.7,False,True,False,True,51.8,بدون,77,0.03,False,False,False,0.129,0.5534166608537946,2.49,False,False,429.06,-0.0,0.18,-0.24,-0.11,3.55,2.32,0.57,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,0.5,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,1.0,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,2.0,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,none,-0.11,target,2.09,0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13
ZS,2026-09-04,15:30,15,72,168.68,167.84,168.48,2.39,2.96,0.53,1.12,False,False,False,False,47.4,بدون,66,6.03,False,True,False,0.357,0.6002982003348214,5.11,False,False,168.85,0.1,0.65,-0.36,0.36,0.65,-4.09,0.7,target,0.4,target,0.4,none,0.36,stop,-1.92,none,0.36,stop,-1.92,none,0.36,stop,-1.92,0.5,target,0.4,target,0.4,none,0.36,stop,-1.92,none,0.36,stop,-1.92,none,0.36,stop,-1.92,1.0,target,0.4,target,0.4,none,0.36,stop,-1.92,none,0.36,stop,-1.92,none,0.36,stop,-1.92,2.0,target,0.4,target,0.4,none,0.36,stop,-2.1,none,0.36,stop,-2.1,none,0.36,stop,-2.1,0.36,target,0.4,target,0.4,none,0.36,stop,-1.92,none,0.36,stop,-1.92,none,0.36,stop,-1.92
AMGN,2026-09-08,09:40,9,2,405.99,404.01,407.54,10.93,4.9,0.86,3.23,False,True,False,True,11.5,بدون,100,8.61,False,True,False,0.834,3.385347638811384,2.12,False,True,405.79,-0.05,0.28,-3.6,-3.09,0.28,-3.57,0.69,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,0.5,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,1.0,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,2.0,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,0.83,stop,-0.78,stop,-0.78,stop,-0.78,stop,-0.78,stop,-0.78,stop,-0.78,stop,-0.78,stop,-0.78
BSX,2026-09-08,09:40,9,2,46.77,46.51,46.99,3.54,2.41,0.96,3.35,False,True,False,False,16.7,بدون,96,2.75,False,False,False,0.381,0.1783785138811384,4.07,False,True,46.75,-0.04,0.29,-4.06,-3.78,0.29,-3.8,0.75,stop,-0.71,stop,-0.71,stop,-0.71,stop,-0.71,stop,-0.71,stop,-0.71,stop,-0.71,stop,-0.71,0.5,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,1.0,stop,-0.96,stop,-0.96,stop,-0.96,stop,-0.96,stop,-0.96,stop,-0.96,stop,-0.96,stop,-0.96,2.0,stop,-1.96,stop,-1.96,stop,-1.96,stop,-1.96,stop,-1.96,stop,-1.96,stop,-1.96,stop,-1.96,0.38,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34,stop,-0.34
CRM,2026-09-08,09:40,9,2,248.45,246.98,248.64,3.46,1.71,0.65,1.97,False,False,False,False,8.6,بدون,71,5.35,False,True,False,0.582,1.4373855590820312,4.42,False,True,248.32,-0.05,1.27,-0.98,0.36,2.61,-1.65,0.79,target,0.55,target,0.55,target,1.05,target,1.05,stop,-0.74,stop,-0.74,stop,-0.74,stop,-0.74,0.5,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,1.0,target,0.55,target,0.55,target,1.05,target,1.05,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,2.0,target,0.55,target,0.55,target,1.05,target,1.05,none,0.36,target,1.55,none,0.36,target,2.05,0.58,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53
DHR,2026-09-08,09:40,9,2,206.2,204.09,205.76,3.81,1.5,0.84,3.35,False,True,False,True,20.4,بدون,89,1.05,False,False,False,0.352,0.7203445434570312,3.15,False,True,205.99,-0.1,0.9,-0.49,-0.33,0.9,-0.5,1.22,target,0.6,target,0.6,none,-0.33,stop,-1.12,none,-0.33,stop,-1.12,none,-0.33,stop,-1.12,0.5,target,0.6,target,0.6,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,1.0,target,0.6,target,0.6,none,-0.33,stop,-0.9,none,-0.33,stop,-0.9,none,-0.33,stop,-0.9,2.0,target,0.6,target,0.6,none,-0.33,stop,-1.9,none,-0.33,stop,-1.9,none,-0.33,stop,-1.9,0.35,target,0.6,target,0.6,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25,stop,-0.25
FCX,2026-09-08,09:40,9,2,77.27,76.09,76.83,7.56,2.04,0.97,3.89,True,True,True,True,90.9,بدون,97,990.0,True,True,False,0.572,0.43666294642857145,4.23,False,True,77.28,0.01,1.76,-1.07,-0.84,1.76,-1.36,1.72,target,0.49,target,0.49,target,0.99,target,0.99,target,1.49,target,1.49,none,-0.84,stop,-1.74,0.5,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,1.0,target,0.49,target,0.49,target,0.99,target,0.99,target,1.49,target,1.49,stop,-1.01,stop,-1.01,2.0,target,0.49,target,0.49,target,0.99,target,0.99,target,1.49,target,1.49,none,-0.84,none,-1.36,0.57,target,0.49,target,0.49,target,0.99,target,0.99,target,1.49,target,1.49,stop,-0.58,stop,-0.58
IBM,2026-09-08,09:40,9,2,231.84,230.34,231.4,2.53,1.58,0.65,2.28,False,False,False,True,17.0,بدون,59,1.87,False,False,False,0.303,0.6979195731026786,2.33,False,True,231.98,0.06,0.46,-0.56,0.06,4.1,3.44,0.85,target,0.44,target,0.44,none,0.06,target,0.94,none,0.06,target,1.44,none,0.06,target,1.94,0.5,stop,-0.56,stop,-0.56,stop,-0.56,stop,-0.56,stop,-0.56,stop,-0.56,stop,-0.56,stop,-0.56,1.0,target,0.44,target,0.44,none,0.06,target,0.94,none,0.06,target,1.44,none,0.06,target,1.94,2.0,target,0.44,target,0.44,none,0.06,target,0.94,none,0.06,target,1.44,none,0.06,target,1.94,0.3,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36
ISRG,2026-09-08,09:40,9,2,359.34,356.76,359.46,2.25,1.71,0.89,3.25,False,False,False,False,15.2,بدون,64,2.65,False,False,False,0.356,1.27630615234375,3.14,False,True,359.17,-0.05,0.36,-3.24,-2.51,0.36,-1.62,0.92,stop,-0.87,stop,-0.87,stop,-0.87,stop,-0.87,stop,-0.87,stop,-0.87,stop,-0.87,stop,-0.87,0.5,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,1.0,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,stop,-0.95,2.0,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,stop,-1.95,0.36,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31
JNJ,2026-09-08,09:40,9,2,269.47,268.17,270.05,3.43,1.49,0.91,3.51,False,True,False,True,18.5,بدون,85,3.09,False,True,False,0.342,0.9188668387276786,2.03,False,True,269.37,-0.04,0.67,-0.64,-0.08,0.67,-0.81,0.68,target,0.54,target,0.54,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,0.5,target,0.54,target,0.54,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,stop,-0.46,1.0,target,0.54,target,0.54,none,-0.08,stop,-0.96,none,-0.08,stop,-0.96,none,-0.08,stop,-0.96,2.0,target,0.54,target,0.54,none,-0.08,none,-0.81,none,-0.08,none,-0.81,none,-0.08,none,-0.81,0.34,target,0.54,target,0.54,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3
LLY,2026-09-08,09:40,9,2,1126.19,1121.02,1130.89,2.06,1.28,0.99,3.46,False,True,False,True,26.9,بدون,66,2.37,False,False,False,0.422,4.734061104910714,3.06,False,True,1126.5,0.03,0.71,-0.83,-0.23,1.09,-0.21,0.66,target,0.47,target,0.47,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,0.5,target,0.47,target,0.47,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,1.0,target,0.47,target,0.47,none,-0.23,target,0.97,none,-0.23,none,-0.21,none,-0.23,none,-0.21,2.0,target,0.47,target,0.47,none,-0.23,target,0.97,none,-0.23,none,-0.21,none,-0.23,none,-0.21,0.42,target,0.47,target,0.47,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45,stop,-0.45
MRK,2026-09-08,09:40,9,2,148.89,147.41,149.24,4.24,1.42,0.99,6.12,False,True,False,True,23.3,بدون,89,1.95,False,True,False,0.337,0.49757603236607145,3.25,False,True,148.89,-0.0,0.48,-0.52,-0.28,0.48,-0.87,1.19,none,-0.28,none,-0.87,none,-0.28,none,-0.87,none,-0.28,none,-0.87,none,-0.28,none,-0.87,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.28,stop,-1.0,none,-0.28,stop,-1.0,none,-0.28,stop,-1.0,none,-0.28,stop,-1.0,2.0,none,-0.28,none,-0.87,none,-0.28,none,-0.87,none,-0.28,none,-0.87,none,-0.28,none,-0.87,0.33,stop,-0.33,stop,-0.33,stop,-0.33,stop,-0.33,stop,-0.33,stop,-0.33,stop,-0.33,stop,-0.33
