sym,t,date,kind,volx,clv,close,sig_low,atr_pct,trend200,ext,near_earn,year,fill,gap_pct,stop_pct,o_t5,p_t5,d_t5,o_t8,p_t8,d_t8,o_t10,p_t10,d_t10,p_hold5,p_hold10,p_hold20,mfe,mae
SCCO,254,2024-09-26,A,2.05,0.79,113.11,109.5879898071289,3.07,True,17.98,False,2024,112.24,-0.77,2.36,stop,-2.36,1,stop,-2.36,1,stop,-2.36,1,-1.3,-1.56,-3.42,0.77,-7.72
ZS,264,2024-10-10,A,2.07,0.94,195.5,185.0989990234375,2.64,False,10.25,False,2024,195.33,-0.09,5.24,stop,-5.24,8,stop,-5.24,8,stop,-5.24,8,-2.72,-5.31,0.2,3.94,-8.04
UBER,265,2024-10-11,A,4.04,0.87,86.34,81.86000061035156,2.75,True,19.31,False,2024,85.64,-0.81,4.41,stop,-4.41,2,stop,-4.41,2,stop,-4.41,2,-6.05,-9.28,-16.34,0.63,-18.41
ISRG,270,2024-10-18,A,3.47,0.92,521.15,495.0,2.35,True,7.84,True,2024,519.04,-0.4,4.63,time,2.43,20,time,2.43,20,time,2.43,20,-1.57,-2.24,2.43,4.88,-3.54
MSFT,272,2024-10-22,B,1.57,0.76,427.51,418.0400085449219,1.52,True,1.76,False,2024,430.86,0.78,2.98,stop,-3.6,6,stop,-3.6,6,stop,-3.6,6,0.39,-2.48,-3.57,1.77,-5.87
BSX,273,2024-10-23,B,3.84,0.97,87.45,83.2699966430664,1.97,True,5.26,True,2024,88.37,1.05,5.77,stop,-5.77,4,stop,-5.77,4,stop,-5.77,4,-4.92,-1.69,3.54,3.79,-8.75
SBUX,273,2024-10-23,B,3.01,0.98,97.65,93.69000244140625,1.74,True,2.39,False,2024,97.69,0.04,4.09,time,2.43,20,time,2.43,20,time,2.43,20,0.01,-1.61,2.43,3.81,-2.98
TXN,274,2024-10-24,B,1.9,0.95,206.61,201.2100067138672,2.36,True,1.64,True,2024,207.61,0.48,3.08,stop,-3.08,7,stop,-3.08,7,stop,-3.08,7,-1.3,6.11,-4.63,6.16,-5.64
TSLA,275,2024-10-25,A,2.03,0.98,269.19,255.32000732421875,4.05,True,16.75,True,2024,270.0,0.3,5.44,stop,-5.44,3,stop,-5.44,3,stop,-5.44,3,-10.06,29.63,25.4,34.05,-11.53
GOOGL,277,2024-10-29,A,2.04,0.79,169.68,167.08999633789062,1.73,True,4.69,True,2024,180.68,6.48,7.0,stop,-7.0,3,stop,-7.0,3,stop,-7.0,3,-2.31,-1.0,-6.34,1.0,-9.4
MPWR,277,2024-10-29,B,1.51,0.91,933.23,891.1900024414062,3.31,True,3.29,True,2024,912.71,-2.2,2.36,stop,-9.47,1,stop,-9.47,1,stop,-9.47,1,-13.96,-34.1,-38.62,2.08,-40.1
ABBV,278,2024-10-30,A,2.24,0.94,201.5,188.5500030517578,1.76,True,3.95,True,2024,201.97,0.23,6.64,stop,-11.59,7,stop,-11.59,7,stop,-11.59,7,-0.72,-16.01,-9.43,2.65,-18.89
ETN,279,2024-10-31,B,2.77,0.81,331.58,321.3900146484375,2.14,True,2.9,True,2024,335.95,1.32,4.33,target,5.67,3,target,8.0,3,target,10.67,6,9.14,6.86,10.8,13.11,-1.88
PH,279,2024-10-31,B,2.59,0.9,634.07,615.260009765625,1.48,True,3.22,True,2024,631.57,-0.39,2.58,target,8.11,3,target,8.11,3,target,10.0,3,10.14,10.66,10.94,12.8,-0.43
LULU,280,2024-11-01,A,2.06,0.95,321.17,297.760009765625,2.97,False,16.92,False,2024,320.25,-0.29,7.0,target,5.0,19,time,6.37,20,time,6.37,20,-0.56,-3.35,6.37,6.61,-6.89
SYK,280,2024-11-01,B,1.71,0.94,367.15,357.7799987792969,2.16,True,1.98,False,2024,368.0,0.23,2.78,target,5.0,6,target,8.0,10,time,6.24,20,2.95,5.82,6.24,8.21,-1.35
EMR,281,2024-11-04,B,1.62,0.71,109.81,107.45999908447266,1.47,False,2.87,True,2024,115.75,5.41,7.0,target,9.26,1,target,9.26,1,target,10.0,1,10.93,11.93,16.05,16.5,-0.32
PLTR,282,2024-11-05,A,4.51,0.91,51.13,46.86000061035156,3.73,True,32.53,True,2024,53.44,4.52,7.0,target,5.0,1,target,8.0,2,target,12.52,3,13.59,16.24,34.49,36.56,-3.42
VRTX,282,2024-11-05,B,1.64,0.89,499.88,474.0,2.23,True,5.37,True,2024,505.35,1.09,6.2,stop,-6.2,7,stop,-6.2,7,stop,-6.2,7,-2.13,-10.71,-8.99,2.88,-11.94
AMZN,283,2024-11-06,A,2.06,0.95,207.09,199.13999938964844,2.55,True,11.14,False,2024,207.44,0.17,4.0,stop,-4.0,8,stop,-4.0,8,stop,-4.0,8,1.95,-4.37,9.44,9.5,-5.64
ARM,283,2024-11-06,B,1.98,0.73,144.68,141.00999450683594,4.58,True,2.25,True,2024,140.0,-3.23,-0.72,stop,0.72,0,stop,0.72,0,stop,0.72,0,-2.61,-4.9,0.64,10.46,-9.75
CAT,283,2024-11-06,A,2.2,0.9,416.88,404.010009765625,2.31,True,11.24,False,2024,414.92,-0.47,2.63,stop,-3.36,1,stop,-3.36,1,stop,-3.36,1,-6.64,-6.1,-4.79,0.86,-8.89
COST,283,2024-11-06,B,1.59,0.95,899.25,886.280029296875,1.21,True,0.83,False,2024,898.62,-0.07,1.37,target,5.0,1,target,8.0,11,target,10.0,18,2.81,6.35,10.46,11.03,-0.47
EMR,283,2024-11-06,A,2.97,0.81,126.86,123.12999725341797,2.2,False,18.05,True,2024,126.2,-0.52,2.43,target,5.0,12,time,3.79,20,time,3.79,20,2.22,1.64,3.79,6.85,-1.38
META,283,2024-11-06,B,1.55,0.95,572.05,555.1699829101562,2.42,True,2.36,False,2024,576.89,0.85,3.77,stop,-3.77,6,stop,-3.77,6,stop,-3.77,6,0.05,-2.39,8.13,9.17,-4.83
ORCL,283,2024-11-06,A,2.02,0.82,181.24,177.4199981689453,1.89,True,9.5,False,2024,181.08,-0.09,2.02,target,5.0,1,target,8.0,10,time,5.86,20,3.3,6.27,5.86,8.26,-1.09
PH,283,2024-11-06,A,3.28,0.99,709.46,682.7899780273438,1.99,True,14.47,False,2024,708.91,-0.08,3.68,time,-1.8,20,time,-1.8,20,time,-1.8,20,-1.59,-0.88,-1.8,0.5,-3.51
PLTR,283,2024-11-06,A,2.13,0.96,55.53,51.61000061035156,3.88,True,42.12,True,2024,55.82,0.52,7.0,target,7.73,2,target,8.0,2,target,10.0,2,6.02,9.92,36.76,37.62,-4.07
TSLA,283,2024-11-06,A,2.02,0.92,288.53,275.6199951171875,4.65,True,21.71,False,2024,288.89,0.12,4.59,target,5.0,1,target,8.0,1,target,10.0,1,7.72,17.57,34.73,34.82,-1.17
ANET,284,2024-11-07,A,2.08,0.87,107.75,106.15750122070312,2.36,True,12.97,True,2024,101.61,-5.7,-4.47,stop,4.47,0,stop,4.47,0,stop,4.47,0,-7.89,0.0,4.24,8.98,-9.36
ARM,284,2024-11-07,B,2.87,0.74,150.65,139.50999450683594,4.94,True,6.08,True,2024,148.7,-1.29,6.18,stop,-6.18,1,stop,-6.18,1,stop,-6.18,1,-13.43,-8.55,-6.09,0.28,-15.03
GILD,284,2024-11-07,A,2.72,0.91,97.9,93.51000213623047,1.93,True,15.24,True,2024,96.05,-1.89,2.64,stop,-2.64,3,stop,-2.64,3,stop,-2.64,3,-7.96,-6.1,-5.68,2.97,-10.38
PLTR,284,2024-11-07,A,2.21,0.8,55.88,53.54999923706055,4.05,True,41.17,False,2024,55.57,-0.55,3.64,target,5.0,0,target,8.21,1,target,10.0,1,18.36,15.8,30.39,45.6,-0.49
CRM,285,2024-11-08,A,2.23,0.94,321.95,309.44000244140625,2.1,True,15.91,False,2024,325.25,1.03,4.86,target,5.0,0,target,12.78,16,target,12.78,16,-0.92,4.26,7.25,13.45,-2.84
EOG,285,2024-11-08,A,2.23,0.87,134.12,128.1999969482422,2.23,True,7.13,True,2024,133.48,-0.48,3.96,stop,-3.96,18,stop,-3.96,18,stop,-3.96,18,2.29,-1.12,-5.15,3.18,-5.6
FTNT,285,2024-11-08,A,3.67,0.94,92.04,84.26000213623047,2.56,True,16.9,True,2024,92.42,0.41,7.0,target,5.0,0,target,8.0,2,time,5.1,20,-0.58,0.76,5.1,8.84,-2.98
TSLA,285,2024-11-08,A,2.32,0.76,321.22,297.6600036621094,5.02,True,33.18,False,2024,346.3,7.81,7.0,stop,-7.0,3,stop,-7.0,3,stop,-7.0,3,-2.18,-2.23,15.79,18.32,-10.71
CRM,286,2024-11-11,A,3.45,0.84,341.73,325.25,2.36,True,22.25,False,2024,339.29,-0.71,4.14,stop,-4.14,3,stop,-4.14,3,stop,-4.14,3,-4.67,1.15,4.59,8.76,-6.86
ADBE,287,2024-11-12,B,1.67,0.9,526.42,504.2699890136719,2.14,False,2.69,False,2024,523.79,-0.5,3.73,stop,-3.73,2,stop,-3.73,2,stop,-3.73,2,-4.64,-1.93,-9.39,6.51,-10.1
SHOP,288,2024-11-13,A,2.44,0.94,115.09,106.18000030517578,3.85,True,43.19,True,2024,115.29,0.17,7.0,stop,-7.1,1,stop,-7.1,1,stop,-7.1,1,-7.64,0.27,-0.57,4.71,-11.02
PLTR,290,2024-11-15,A,2.37,0.95,65.77,60.90999984741211,5.03,True,52.3,False,2024,64.92,-1.29,6.18,stop,-6.18,0,stop,-6.18,0,stop,-6.18,0,-0.42,9.3,14.59,24.63,-9.35
INTU,292,2024-11-19,B,1.73,0.81,644.17,632.4000244140625,3.19,True,1.55,True,2024,642.09,-0.32,1.51,target,5.0,1,stop,-1.51,4,stop,-1.51,4,-0.92,1.03,-0.8,6.15,-2.44
VRT,292,2024-11-19,A,2.27,0.99,140.94,123.62999725341797,4.46,True,30.93,False,2024,140.6,-0.24,7.0,stop,-7.0,3,stop,-7.0,3,stop,-7.0,3,-9.72,-4.28,-17.89,3.61,-19.78
TJX,293,2024-11-20,B,1.91,0.76,119.74,116.75,1.7,True,2.82,True,2024,119.87,0.11,2.6,target,5.0,3,time,1.78,20,time,1.78,20,4.86,5.19,1.78,6.78,-1.74
